page_a,page_b,common_words,union_words,common_pct_jaccard
acariens-chatenay-malabry,cafards-orly,387,490,78.9796
acariens-chatenay-malabry,cafards-thiais,386,489,78.9366
acariens-chatenay-malabry,cafards-versailles,385,493,78.0933
acariens-chatenay-malabry,chenille-processionnaire-antony,386,484,79.7521
acariens-chatenay-malabry,chenille-processionnaire-chatenay-malabry,399,472,84.5339
acariens-chatenay-malabry,chenille-processionnaire-choisy-le-roi,386,482,80.083
acariens-chatenay-malabry,chenille-processionnaire-orly,385,483,79.7101
acariens-chatenay-malabry,chenille-processionnaire-thiais,384,482,79.668
acariens-chatenay-malabry,chenille-processionnaire-versailles,383,486,78.8066
acariens-chatenay-malabry,depigeonnage-antony,379,484,78.3058
acariens-chatenay-malabry,depigeonnage-chatenay-malabry,392,473,82.8753
acariens-chatenay-malabry,depigeonnage-choisy-le-roi,378,483,78.2609
acariens-chatenay-malabry,depigeonnage-orly,378,484,78.0992
acariens-chatenay-malabry,depigeonnage-thiais,377,483,78.0538
acariens-chatenay-malabry,depigeonnage-versailles,376,487,77.2074
acariens-chatenay-malabry,deratisation-antony,260,736,35.3261
acariens-chatenay-malabry,deratisation-chatenay-malabry,255,939,27.1565
acariens-chatenay-malabry,deratisation-chevilly-larue,211,783,26.9476
acariens-chatenay-malabry,deratisation-choisy-le-roi,207,756,27.381
acariens-chatenay-malabry,deratisation-clamart,210,722,29.0859
acariens-chatenay-malabry,deratisation-orly,228,849,26.8551
acariens-chatenay-malabry,deratisation-rungis,206,693,29.7258
acariens-chatenay-malabry,deratisation-thiais,242,953,25.3935
acariens-chatenay-malabry,deratisation-versailles,211,726,29.0634
acariens-chatenay-malabry,deratisation-villejuif,227,827,27.4486
acariens-chatenay-malabry,deratisation-vitry-sur-seine,230,830,27.7108
acariens-chatenay-malabry,fourmis-antony,388,470,82.5532
acariens-chatenay-malabry,fourmis-chatenay-malabry,401,458,87.5546
acariens-chatenay-malabry,fourmis-choisy-le-roi,388,468,82.906
acariens-chatenay-malabry,fourmis-orly,387,469,82.516
acariens-chatenay-malabry,fourmis-thiais,386,468,82.4786
acariens-chatenay-malabry,fourmis-versailles,385,472,81.5678
acariens-chatenay-malabry,frelon-asiatique-chatenay-malabry,389,464,83.8362
acariens-chatenay-malabry,frelon-asiatique-orly,375,475,78.9474
acariens-chatenay-malabry,frelon-asiatique-thiais,374,474,78.903
acariens-chatenay-malabry,frelons-antony,235,741,31.7139
acariens-chatenay-malabry,frelons-arcueil,142,617,23.0146
acariens-chatenay-malabry,frelons-choisy-le-roi,376,471,79.8301
acariens-chatenay-malabry,frelons-clamart,142,614,23.127
acariens-chatenay-malabry,frelons-gentilly,146,616,23.7013
acariens-chatenay-malabry,frelons-le-kremlin-bicetre,146,611,23.8953
acariens-chatenay-malabry,frelons-orly,375,472,79.4492
acariens-chatenay-malabry,frelons-thiais,374,471,79.4055
acariens-chatenay-malabry,frelons-versailles,212,788,26.9036
acariens-chatenay-malabry,guepes-antony,236,741,31.8489
acariens-chatenay-malabry,guepes-arcueil,135,623,21.6693
acariens-chatenay-malabry,guepes-chatenay-malabry,386,465,83.0108
acariens-chatenay-malabry,guepes-choisy-le-roi,373,484,77.0661
acariens-chatenay-malabry,guepes-clamart,135,619,21.8094
acariens-chatenay-malabry,guepes-gentilly,139,622,22.3473
acariens-chatenay-malabry,guepes-le-kremlin-bicetre,139,616,22.5649
acariens-chatenay-malabry,guepes-orly,372,476,78.1513
